,HOME_TEAM_NAME,HOME_DATE,HOME_W_PCT,HOME_FG_PCT,HOME_FG3_PCT,HOME_OREB,HOME_DREB,HOME_AST,HOME_TOV,HOME_STL,HOME_BLK,HOME_PTS,AWAY_TEAM_NAME,AWAY_DATE,AWAY_W_PCT,AWAY_FG_PCT,AWAY_FG3_PCT,AWAY_OREB,AWAY_DREB,AWAY_AST,AWAY_TOV,AWAY_STL,AWAY_BLK,AWAY_PTS,Home Team Wins
35,Cleveland Cavaliers,11072018,0.1,0.451,0.355,11.8,29.6,20.6,15.0,8.1,1.8,105.5,Oklahoma City Thunder,11072018,0.556,0.449,0.299,12.6,33.8,22.4,14.3,11.7,5.7,113.2,False
36,Indiana Pacers,11072018,0.636,0.489,0.379,8.5,32.3,22.5,13.8,8.5,5.3,106.6,Philadelphia 76ers,11072018,0.545,0.439,0.33899999999999997,10.5,39.3,25.8,16.5,6.8,5.6,111.6,False
37,Los Angeles Lakers,11072018,0.4,0.494,0.34299999999999997,9.7,34.7,25.6,15.4,8.9,6.4,118.9,Minnesota Timberwolves,11072018,0.364,0.43,0.34600000000000003,11.5,30.9,22.5,12.6,9.5,6.5,110.6,True
38,Memphis Grizzlies,11072018,0.556,0.449,0.37200000000000005,7.2,30.2,23.9,12.9,10.6,3.7,103.7,Denver Nuggets,11072018,0.9,0.465,0.315,12.4,36.2,25.3,14.1,9.0,5.2,111.8,True
39,Miami Heat,11072018,0.444,0.442,0.364,12.6,36.3,22.6,16.2,7.0,6.9,113.3,San Antonio Spurs,11072018,0.667,0.462,0.379,11.1,34.2,24.9,11.6,6.9,4.0,113.4,True
40,New Orleans Pelicans,11072018,0.4,0.48,0.349,11.4,34.9,26.2,15.1,7.5,5.4,118.6,Chicago Bulls,11072018,0.273,0.45799999999999996,0.375,8.2,33.6,23.1,15.3,6.7,5.5,108.0,True
41,Orlando Magic,11072018,0.4,0.426,0.31,11.0,33.5,24.6,13.1,7.7,5.7,101.8,Detroit Pistons,11072018,0.444,0.42700000000000005,0.306,12.9,36.6,19.7,15.1,5.7,4.0,110.1,False
42,Sacramento Kings,11072018,0.6,0.49700000000000005,0.39899999999999997,9.9,35.9,25.4,15.2,8.3,4.8,118.7,Toronto Raptors,11072018,0.909,0.49200000000000005,0.35100000000000003,10.2,36.1,26.1,13.9,8.5,6.0,117.4,False
43,Utah Jazz,11072018,0.4,0.461,0.348,10.0,33.2,23.8,15.2,8.1,5.3,109.9,Dallas Mavericks,11072018,0.3,0.455,0.35,10.8,33.1,23.9,16.9,6.6,4.8,111.6,True
44,Golden State Warriors,11082018,0.909,0.519,0.423,9.6,37.4,30.5,15.2,7.8,5.9,123.5,Milwaukee Bucks,11082018,0.8,0.47600000000000003,0.38,10.1,43.1,26.4,15.9,5.7,6.1,120.0,False
45,Oklahoma City Thunder,11082018,0.6,0.446,0.29600000000000004,12.0,34.1,21.2,14.1,11.8,6.0,111.4,Houston Rockets,11082018,0.444,0.425,0.33399999999999996,11.0,30.9,21.3,14.3,8.6,6.6,105.3,True
46,Phoenix Suns,11082018,0.2,0.447,0.33799999999999997,8.5,33.7,23.7,18.9,6.2,2.8,100.6,Boston Celtics,11082018,0.6,0.43,0.35100000000000003,9.9,37.5,23.6,13.6,6.4,5.4,104.2,False
47,Atlanta Hawks,11092018,0.273,0.451,0.34,9.5,34.1,25.3,19.0,8.3,6.5,109.6,Detroit Pistons,11092018,0.5,0.425,0.305,12.9,36.6,19.8,15.6,6.4,3.7,109.4,False
48,Denver Nuggets,11092018,0.818,0.45899999999999996,0.308,12.5,35.5,24.7,14.5,9.0,5.0,109.5,Brooklyn Nets,11092018,0.455,0.45899999999999996,0.37,11.0,33.0,24.6,15.3,6.5,4.6,109.4,False
49,Miami Heat,11092018,0.5,0.43700000000000006,0.359,12.7,37.3,22.4,15.9,7.1,7.3,111.5,Indiana Pacers,11092018,0.583,0.48100000000000004,0.366,8.5,32.3,22.3,13.7,8.5,5.3,105.6,False
50,Orlando Magic,11092018,0.364,0.429,0.312,10.5,33.5,24.9,13.8,7.9,5.9,101.3,Washington Wizards,11092018,0.2,0.44,0.313,8.5,31.3,22.3,14.4,8.1,7.0,110.2,True
51,Philadelphia 76ers,11092018,0.583,0.441,0.337,10.0,39.2,25.7,16.5,6.8,5.8,110.7,Charlotte Hornets,11092018,0.545,0.47,0.365,10.4,34.5,25.3,13.5,6.3,6.5,115.5,True
52,Sacramento Kings,11092018,0.545,0.495,0.395,9.5,34.9,25.5,15.2,8.5,4.8,117.5,Minnesota Timberwolves,11092018,0.33299999999999996,0.43200000000000005,0.36200000000000004,11.4,30.8,22.4,12.9,9.5,6.3,110.6,True
53,Utah Jazz,11092018,0.455,0.46299999999999997,0.348,9.8,32.6,24.5,14.9,8.5,5.7,110.5,Boston Celtics,11092018,0.636,0.428,0.354,10.5,37.6,23.4,13.8,6.4,5.5,105.3,True
54,Chicago Bulls,11102018,0.25,0.452,0.368,8.1,34.1,22.7,15.0,6.9,5.6,107.2,Cleveland Cavaliers,11102018,0.091,0.444,0.34700000000000003,11.8,30.5,20.3,15.5,7.6,2.0,103.7,True
55,Dallas Mavericks,11102018,0.273,0.45,0.349,10.9,33.5,23.0,17.6,6.3,4.7,110.7,Oklahoma City Thunder,11102018,0.636,0.446,0.29,12.1,34.5,20.9,14.2,11.6,5.8,110.2,True
56,Golden State Warriors,11102018,0.833,0.516,0.418,9.5,36.8,30.6,15.4,7.6,5.9,122.4,Brooklyn Nets,11102018,0.5,0.455,0.369,11.1,32.8,24.3,14.7,6.6,5.0,109.6,True
57,Memphis Grizzlies,11102018,0.6,0.44799999999999995,0.373,7.3,30.0,23.4,13.4,10.2,4.0,102.2,Philadelphia 76ers,11102018,0.615,0.444,0.336,10.2,39.7,26.2,16.5,6.5,6.5,112.4,True
58,Miami Heat,11102018,0.455,0.43799999999999994,0.371,12.4,36.5,22.8,16.6,7.0,7.2,110.6,Washington Wizards,11102018,0.182,0.446,0.32,8.3,31.1,22.5,14.8,8.1,6.6,110.0,False
59,New Orleans Pelicans,11102018,0.455,0.47700000000000004,0.35100000000000003,11.4,35.7,26.7,15.1,7.3,5.8,117.5,Phoenix Suns,11102018,0.182,0.447,0.335,8.1,34.1,23.8,18.5,6.5,3.1,101.4,True
60,Sacramento Kings,11102018,0.583,0.491,0.39299999999999996,9.8,35.1,25.5,15.0,8.3,4.9,117.8,Los Angeles Lakers,11102018,0.455,0.493,0.353,9.9,34.7,26.2,15.5,8.6,6.2,118.5,False
61,San Antonio Spurs,11102018,0.6,0.449,0.382,11.2,34.5,24.3,11.6,7.0,4.1,110.9,Houston Rockets,11102018,0.4,0.42100000000000004,0.327,11.1,30.5,20.8,14.6,8.6,6.2,102.8,True
62,Toronto Raptors,11102018,0.917,0.49,0.34700000000000003,10.4,36.4,25.3,14.6,8.7,5.8,117.1,New York Knicks,11102018,0.33299999999999996,0.435,0.332,12.3,33.2,19.7,15.0,7.6,3.8,107.3,True
63,Denver Nuggets,11112018,0.75,0.45899999999999996,0.307,12.7,35.8,24.3,14.4,8.5,5.0,109.6,Milwaukee Bucks,11112018,0.75,0.47700000000000004,0.368,10.8,41.8,27.3,15.7,6.6,6.3,121.7,False
64,Detroit Pistons,11112018,0.545,0.43,0.32,12.6,36.4,20.7,15.2,6.7,3.9,110.7,Charlotte Hornets,11112018,0.5,0.462,0.368,10.7,34.6,25.3,12.9,6.6,6.4,116.8,False
65,Houston Rockets,11112018,0.364,0.413,0.317,11.5,30.8,19.9,14.0,8.7,6.1,101.5,Indiana Pacers,11112018,0.615,0.485,0.365,8.3,32.4,22.1,14.0,8.6,5.3,105.9,True
66,Los Angeles Lakers,11112018,0.5,0.486,0.349,10.5,35.3,25.9,15.5,8.8,5.9,117.0,Atlanta Hawks,11112018,0.25,0.451,0.33399999999999996,9.4,34.9,24.6,18.8,8.1,6.1,109.6,True
67,New York Knicks,11112018,0.308,0.43700000000000006,0.32899999999999996,12.5,33.0,19.5,14.9,7.9,3.9,107.7,Orlando Magic,11112018,0.41700000000000004,0.436,0.321,10.5,33.3,25.0,14.0,7.9,5.9,102.6,False
68,Portland Trail Blazers,11112018,0.75,0.465,0.36200000000000004,11.8,40.2,20.3,14.3,6.0,4.9,117.2,Boston Celtics,11112018,0.583,0.429,0.358,10.1,36.4,24.0,13.3,6.8,5.3,106.1,True
69,Chicago Bulls,11122018,0.308,0.45399999999999996,0.369,7.8,34.0,22.5,14.7,6.9,5.5,106.5,Dallas Mavericks,11122018,0.33299999999999996,0.45799999999999996,0.359,10.3,33.5,23.7,17.5,6.5,4.8,110.8,False
70,Memphis Grizzlies,11122018,0.636,0.446,0.37200000000000005,8.0,30.0,22.7,13.2,10.1,3.9,103.1,Utah Jazz,11122018,0.5,0.47100000000000003,0.35100000000000003,9.7,33.0,24.8,15.1,8.1,5.6,111.6,False
71,Miami Heat,11122018,0.41700000000000004,0.43799999999999994,0.37,12.5,35.5,23.0,16.8,6.8,7.0,110.6,Philadelphia 76ers,11122018,0.5710000000000001,0.449,0.33,10.1,39.7,26.3,17.0,6.8,6.5,111.9,False
72,Minnesota Timberwolves,11122018,0.308,0.431,0.35700000000000004,11.7,31.2,22.2,13.2,9.2,5.9,110.5,Brooklyn Nets,11122018,0.462,0.456,0.365,11.2,32.5,24.0,14.7,6.6,4.8,108.8,True
73,Oklahoma City Thunder,11122018,0.583,0.441,0.28800000000000003,13.3,33.9,20.6,14.3,11.4,5.5,109.0,Phoenix Suns,11122018,0.16699999999999998,0.44299999999999995,0.33,8.3,33.5,23.2,18.4,6.8,3.4,101.2,True
74,Sacramento Kings,11122018,0.5379999999999999,0.48,0.382,10.0,35.2,24.4,15.3,8.2,4.9,115.3,San Antonio Spurs,11122018,0.636,0.449,0.391,10.9,34.8,23.6,12.0,6.6,4.2,109.5,True
75,Toronto Raptors,11122018,0.9229999999999999,0.493,0.35100000000000003,10.5,36.2,25.2,14.6,8.6,5.7,117.9,New Orleans Pelicans,11122018,0.5,0.478,0.358,11.8,35.9,26.8,15.3,7.3,5.9,117.7,False
76,Washington Wizards,11122018,0.25,0.449,0.322,9.0,31.1,21.8,14.9,8.1,6.5,110.5,Orlando Magic,11122018,0.462,0.43700000000000006,0.32899999999999996,10.5,34.0,25.5,13.8,8.1,6.2,103.5,True
77,Cleveland Cavaliers,11132018,0.083,0.44299999999999995,0.35,12.1,31.1,19.8,15.2,7.4,2.3,103.3,Charlotte Hornets,11132018,0.5379999999999999,0.465,0.37,10.3,35.0,25.2,12.8,6.5,6.5,116.5,True
78,Denver Nuggets,11132018,0.6920000000000001,0.45899999999999996,0.324,12.5,35.2,24.5,14.1,8.5,5.0,109.9,Houston Rockets,11132018,0.41700000000000004,0.418,0.327,11.2,30.8,19.8,14.3,8.5,6.0,102.7,False
79,Golden State Warriors,11132018,0.7859999999999999,0.515,0.41700000000000004,9.4,36.1,30.1,15.1,7.6,6.1,121.5,Atlanta Hawks,11132018,0.231,0.449,0.336,9.5,34.8,24.6,18.8,8.3,5.9,109.3,True
80,Boston Celtics,11142018,0.5379999999999999,0.426,0.35600000000000004,10.2,36.0,23.6,13.3,7.1,5.2,105.2,Chicago Bulls,11142018,0.28600000000000003,0.45,0.359,7.9,34.2,22.0,14.9,7.2,5.4,105.9,True
81,Brooklyn Nets,11142018,0.429,0.451,0.365,11.7,31.8,24.3,14.6,6.9,4.6,109.1,Miami Heat,11142018,0.385,0.441,0.374,12.2,35.2,22.7,16.7,6.7,6.9,110.8,False
82,Dallas Mavericks,11142018,0.385,0.45899999999999996,0.355,10.1,34.2,23.2,17.7,6.8,4.9,110.2,Utah Jazz,11142018,0.5379999999999999,0.465,0.34600000000000003,9.9,33.2,24.4,15.1,8.0,5.6,110.4,True
