,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,DATE
78,1610612740,New Orleans Pelicans,9,4,5,0.444,48.0,43.9,91.6,0.479,9.7,27.3,0.354,21.4,29.3,0.731,11.4,35.0,46.4,26.1,14.4,7.4,5.4,5.0,24.7,23.8,118.9,-1.7,6,14,15,16,11,4,7,7,23,25,17,4,3,21,8,12,11,3,12,16,16,10,28,10,5,18,10,New Orleans Pelicans,11032018
79,1610612752,New York Knicks,9,3,6,0.333,48.0,40.2,90.9,0.443,10.7,30.6,0.349,16.2,20.8,0.781,11.1,31.6,42.7,20.2,13.8,7.9,3.0,5.4,21.4,21.7,107.3,-2.4,6,20,22,22,11,16,10,23,18,20,20,24,26,11,11,28,23,29,7,13,28,16,7,18,23,19,10,New York Knicks,11032018
80,1610612760,Oklahoma City Thunder,8,4,4,0.5,48.0,41.4,93.1,0.444,9.0,30.9,0.291,20.4,29.6,0.688,13.0,34.0,47.0,22.0,14.6,11.3,6.0,4.4,25.8,26.4,112.1,1.4,21,14,11,13,11,12,3,21,27,18,30,10,2,29,1,18,9,23,13,1,11,5,30,1,14,13,10,Oklahoma City Thunder,11032018
81,1610612753,Orlando Magic,8,2,6,0.25,48.0,38.3,92.4,0.414,9.5,31.6,0.3,13.9,19.4,0.716,11.1,34.1,45.3,24.4,13.4,7.4,6.0,4.6,20.0,20.6,99.9,-12.0,21,25,22,25,11,26,4,30,25,15,29,30,30,24,10,17,15,14,5,17,11,8,3,26,30,28,10,Orlando Magic,11032018
82,1610612755,Philadelphia 76ers,10,6,4,0.6,48.5,39.6,90.7,0.437,11.9,34.3,0.347,22.0,27.8,0.791,10.6,39.5,50.1,26.8,15.3,6.9,6.1,5.9,23.9,23.8,113.1,1.1,1,6,11,11,9,21,11,26,10,10,21,2,7,9,14,2,3,2,20,19,9,23,23,9,12,15,10,Philadelphia 76ers,11032018
83,1610612756,Phoenix Suns,8,1,7,0.125,48.0,38.1,84.1,0.453,10.0,31.0,0.323,16.5,21.5,0.767,8.9,33.1,42.0,24.5,18.0,6.4,2.8,5.0,24.1,21.6,102.8,-14.0,21,28,26,28,11,28,28,16,21,17,25,23,25,14,26,22,25,13,29,23,29,10,25,19,29,30,10,Phoenix Suns,11032018
84,1610612757,Portland Trail Blazers,9,6,3,0.667,48.6,42.3,90.7,0.467,11.6,31.6,0.366,21.7,25.2,0.859,11.0,39.3,50.3,20.8,15.0,6.0,5.2,6.7,22.4,22.6,117.9,7.1,6,6,7,8,4,10,12,10,12,16,10,3,13,1,12,3,2,27,17,26,19,28,13,15,6,6,10,Portland Trail Blazers,11032018
85,1610612758,Sacramento Kings,9,6,3,0.667,48.0,46.1,91.7,0.503,10.4,26.1,0.4,17.1,25.7,0.667,10.1,35.9,46.0,25.6,15.2,8.6,4.9,6.2,22.3,24.2,119.8,3.2,6,6,7,8,11,3,6,2,19,26,2,19,10,30,19,10,13,7,19,6,22,25,11,7,3,11,10,Sacramento Kings,11032018
86,1610612759,San Antonio Spurs,8,6,2,0.75,49.3,43.0,92.3,0.466,8.6,22.4,0.385,19.3,23.4,0.824,11.3,34.4,45.6,24.9,11.6,7.4,3.9,4.4,19.1,23.1,113.9,3.1,21,6,5,5,1,7,5,11,28,30,7,13,16,5,9,16,14,11,1,17,26,5,1,13,11,12,10,San Antonio Spurs,11032018
87,1610612761,Toronto Raptors,9,8,1,0.889,48.0,43.8,90.6,0.483,11.8,33.3,0.353,16.9,22.0,0.768,10.2,36.1,46.3,26.0,13.9,8.4,6.6,4.9,22.9,21.1,116.2,8.4,6,2,1,2,11,5,15,5,11,11,18,22,22,13,17,9,12,4,9,9,7,9,18,24,7,4,10,Toronto Raptors,11032018
